"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Hardisty Light","MBL","2015-10-02","MBL-060","Hardisty","860.7","32.8","1.33","4.5","","0.37","","18","35","0.33","4.62","4.58","5.01","4.81","4.45","3.88","1.6","0.05","0.1","0.1","0.27","0.19","3.12","3.34","3.86","3.84","3.65","3.25","1.36","0.05","0.1","0.1","0.27","45.6","99.7","179.3","254.3","314.5","373.1","432.2","506.6","600.3","","","",""
"Hardisty Light","MBL","2015-09-05","MBL-036","Hardisty","887.5","27.8","1.94","6.3","","0.47","","25","52","0.23","3.72","3.39","3.75","3.63","3.56","3.59","1.59","0.04","0.09","0.08","0.26","0.13","2.44","2.4","2.8","2.81","2.83","2.92","1.31","0.04","0.09","0.08","0.25","36.3","85.3","178.1","259.6","324.6","389.7","453.5","527","621.2","","","",""
"Hardisty Light","MBL","2015-07-19","MBL-109","Hardisty","857.9","33.3","1.13","4","","0.44","","14","27","0.34","4.71","4.2","5.17","5.29","5.08","3.96","1.68","0.06","0.22","0.13","0.52","0.2","3.2","3.07","4","4.24","4.18","3.33","1.44","0.06","0.22","0.13","0.53","69.7","102.6","175.4","249.4","308.5","362.2","413.2","464.6","531.6","627.2","692.9","",""
"Hardisty Light","MBL","2015-06-14","MBL-110","Hardisty","848.6","35.1","0.82","3.3","","0.2","","9","15","0.51","5.74","2.34","4.08","5.21","5.48","4.31","2.03","0.02","0.18","0.15","0.6","0.3","3.94","1.73","3.19","4.22","4.56","3.67","1.76","0.02","0.18","0.15","0.61","","","","","","","","","","","","",""
"Hardisty Light","MBL","2015-05-05","MBL-091","Hardisty","857.2","33.4","1","3.3","130","0.48","8.5","9","17","0.29","4.65","2.43","3.92","4.79","5.15","4.94","2.17","0.02","0.12","0.12","0.42","0.17","3.16","1.78","3.03","3.84","4.24","4.16","1.86","0.02","0.12","0.12","0.42","67.5","111.9","181.3","252.2","314.8","372.5","427.7","493.6","593.2","","","",""
"Hardisty Light","MBL","2015-04-14","MBL-415","Hardisty","853.8","34.1","0.9","3.5","","0.33","","11","24","0.39","3.79","2.68","4.39","5.25","5.42","4.55","1.89","0.04","0.17","0.14","0.5","0.22","2.58","1.97","3.41","4.22","4.48","3.84","1.62","0.04","0.17","0.14","0.51","","","","","","","","","","","","",""
"Hardisty Light","MBL","2015-01-08","MBL-161","Hardisty","856.4","33.6","1.03","4","","0.25","","14","26","0.34","5.32","2.56","3.9","4.73","4.9","4.54","1.87","0.04","0.14","0.1","0.3","0.2","3.61","1.88","3.02","3.8","4.04","3.82","1.6","0.04","0.14","0.1","0.3","65.7","103.8","175.7","246.7","304.4","363.6","423.7","489","575","702.8","","",""
"Hardisty Light","MBL","2014-11-04","MBL-167","Hardisty","873.3","30.4","1.75","5","","0.69","","26","65","0.28","3.87","3.46","4.44","4.8","4.87","3.64","1.49","0.14","0.37","0.15","0.58","0.16","2.58","2.49","3.37","3.78","3.94","3.01","1.25","0.14","0.37","0.15","0.58","","","","","","","","","","","","",""
"Hardisty Light","MBL","2014-10-05","MBL-111","Hardisty","869.2","31.1","1.32","5.4","","0.44","","10","30","0.26","4.9","3.4","4.32","4.69","4.85","3.99","1.59","0.03","0.15","0.12","0.45","0.15","3.29","2.46","3.3","3.71","3.94","3.31","1.34","0.03","0.15","0.12","0.45","","","","","","","","","","","","",""
"Hardisty Light","MBL","2014-09-09","MBL-298","Hardisty","872.3","30.6","1.35","5.4","339.8","0.5","9.9","18","37","0.31","4.34","3.46","4.31","4.71","4.67","3.91","1.71","0.05","0.2","0.13","0.47","0.18","2.9","2.49","3.28","3.71","3.78","3.23","1.44","0.05","0.2","0.13","0.47","","","","","","","","","","","","",""
"Hardisty Light","MBL","2014-08-01","MBL-203","Hardisty","868.7","31.2","1.41","4.7","","0.39","","18","38","0.36","4","4","4.54","4.55","4.39","3.58","1.6","0.05","0.15","0.11","0.41","0.21","2.68","2.89","3.47","3.6","3.57","2.97","1.35","0.05","0.15","0.11","0.41","","","","","","","","","","","","",""
"Hardisty Light","MBL","2014-07-04","MBL-216","Hardisty","879.3","29.3","1.72","5.3","","0.5","","22","46","0.3","3.68","3.03","3.84","4.14","4.26","3.33","1.69","0.05","0.17","0.12","0.45","0.17","2.44","2.16","2.9","3.24","3.42","2.73","1.41","0.05","0.17","0.12","0.44","","","","","","","","","","","","",""
"Hardisty Light","MBL","2014-06-01","MBL-042","Hardisty","883.9","28.4","1.85","5.9","195.8","0.57","10.5","28","63","0.28","3.75","3.78","4.18","3.92","3.74","2.9","1.43","0.06","0.15","0.11","0.39","0.16","2.47","2.68","3.14","3.05","2.99","2.37","1.19","0.06","0.15","0.11","0.38","","","","","","","","","","","","",""
"Hardisty Light","MBL","2014-05-15","MBL-044","Hardisty","875.2","30","1.57","5.8","","0.37","","21","43","0.28","4.12","4.36","4.93","4.35","4.27","3.41","1.46","0.05","0.18","0.13","0.45","0.16","2.74","3.13","3.74","3.42","3.45","2.81","1.22","0.05","0.18","0.13","0.45","59.9","107.5","202.8","284.4","354.9","425.5","492.1","570.8","676.5","","","",""
