"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Midale","MSM","2017-05-21","MSM-022","Cromer","869","31.2","2.17","5.1","","0.17","","11.7","21.8","0.28","1.49","2.65","5.51","5.59","5.93","5.14","3","0.79","1.06","0.59","0.55","0.16","1","1.92","4.21","4.42","4.82","4.27","2.53","0.8","1.06","0.59","0.55","","","","","","","","","","","","",""
"Midale","MSM","2017-04-22","MSM-018","Cromer","870.1","31","2.27","5.4","264.6","0.1","4.5","12.8","22.8","0.38","3.07","2.62","5.46","5.53","5.89","4.41","2.25","0.8","1.1","0.61","0.58","0.22","2.06","1.89","4.16","4.37","4.78","3.66","1.9","0.81","1.1","0.61","0.58","68.1","106.2","173.3","239.1","300.6","361.3","425.1","496","591.4","","","",""
"Midale","MSM","2017-03-18","MSM-013","Cromer","866.2","31.7","2.12","4.8","","0.23","","10.5","19.2","0.38","1.59","2.59","5.29","5.38","5.75","4.68","2.48","0.74","1","0.57","0.58","0.22","1.07","1.88","4.05","4.27","4.69","3.9","2.1","0.76","1.01","0.57","0.58","","","","","","","","","","","","",""
"Midale","MSM","2017-02-26","MSM-010","Cromer","870.2","31","2.3","5.2","","0.19","","11.3","20.9","0.33","1.5","2.6","5.39","5.42","5.68","4.72","2.58","0.81","1.07","0.59","0.59","0.19","1.01","1.88","4.11","4.28","4.61","3.91","2.17","0.82","1.07","0.59","0.59","","","","","","","","","","","","",""
"Midale","MSM","2016-11-15","MSM-056","Cromer","869.2","31.1","2.3","5.1","","0.27","","15","29","0.38","1.55","2.48","4.82","4.73","5.13","4.55","2.11","0.65","0.83","0.49","0.4","0.22","1.04","1.79","3.68","3.74","4.17","3.78","1.78","0.66","0.83","0.49","0.4","69.8","109.8","173","234.5","296.1","355.7","418.3","493","589","","","",""
"Midale","MSM","2016-09-12","MSM-009","Cromer","871.5","30.7","2.31","5.1","","0.27","","14","25","0.31","1.49","2.63","5.6","5.57","6.01","5.44","2.99","0.84","1.1","0.63","0.62","0.18","1","1.9","4.26","4.39","4.87","4.5","2.52","0.85","1.1","0.63","0.62","","","","","","","","","","","","",""
"Midale","MSM","2016-08-27","MSM-043","Cromer","871.8","30.7","2.29","5.1","","0.25","","14","26","0.28","1.41","2.57","5.45","5.44","5.86","5.45","3.09","0.82","1.07","0.61","0.61","0.16","0.94","1.85","4.15","4.29","4.75","4.51","2.6","0.83","1.07","0.61","0.61","75.1","107.3","166","213.8","272.3","332","396","460.7","541","661.6","","",""
"Midale","MSM","2016-07-30","MSM-039","Cromer","874.5","30.2","2.29","5.2","449","0.22","36.9","14","27","0.3","1.53","2.76","5.71","5.76","6.04","4.56","2.24","0.83","1.11","0.62","0.59","0.17","1.02","1.98","4.33","4.53","4.88","3.76","1.88","0.84","1.11","0.62","0.59","","","","","","","","","","","","",""
"Midale","MSM","2016-06-08","MSM-031","Cromer","877","29.7","2.33","5.4","","0.31","","14","27","0.28","1.13","2.63","5.12","5.08","5.79","5.64","2.22","0.53","0.54","0.13","0.34","0.16","0.75","1.88","3.87","3.98","4.66","4.64","1.86","0.53","0.54","0.13","0.34","","","","","","","","","","","","",""
"Midale","MSM","2016-05-10","MSM-027","Cromer","875.6","30","2.32","5.2","","0.18","","18","33","0.4","1.33","2.66","5.52","5.64","5.95","4.77","2.19","0.76","1.03","0.56","0.48","0.23","0.89","1.91","4.18","4.43","4.8","3.93","1.84","0.77","1.03","0.56","0.48","81.2","111.3","176.4","240.3","299.6","358.9","421","489.6","580.5","","","",""
"Midale","MSM","2016-02-09","MSM-008","Cromer","871","30.8","2.14","5.1","","0.28","","13","24","0.35","1.61","2.74","5.44","5.54","5.88","5.17","2.38","0.75","1","0.57","0.48","0.2","1.08","1.98","4.14","4.37","4.77","4.28","2","0.76","1","0.57","0.48","76.2","109","170.1","226.4","282.9","338.2","397","456.6","529.5","631.5","710.4","",""
"Midale","MSM","2016-01-12","MSM-002","Cromer","870.2","31","2.14","5.1","119.7","0.21","11.9","13","25","0.24","1.31","2.53","5.44","5.67","6.22","5.54","3.04","0.78","1.08","0.61","0.64","0.14","0.88","1.83","4.15","4.48","5.05","4.59","2.56","0.79","1.08","0.61","0.64","","","","","","","","","","","","",""
"Midale","MSM","2015-10-01","MSM-665","Cromer","875.3","30","2.34","5.2","247","ND","7.4","14","27","0.31","1.5","2.61","5.41","5.63","6.12","4.99","2.04","0.76","1","0.56","0.52","0.18","1","1.87","4.1","4.42","4.94","4.11","1.71","0.77","1","0.56","0.52","67.4","86.5","147.5","214.2","272.7","331.2","393.8","457.6","535.8","649.6","","",""
"Midale","MSM","2015-07-04","MSM-041","Cromer","866.3","31.7","2.04","4.9","176.9","0.12","3.8","17","33","0.51","1.87","2.93","5.9","6.07","6.51","5.02","2.23","0.73","1.09","0.61","0.69","0.29","1.26","2.13","4.52","4.82","5.31","4.18","1.89","0.74","1.1","0.61","0.69","","","","","","","","","","","","",""
"Midale","MSM","2015-05-18","MSM-031","Cromer","873.6","30.3","2.32","5.3","","ND","","14","28","0.33","1.47","2.72","5.39","5.57","5.95","4.74","2.13","0.71","0.95","0.53","0.48","0.19","0.98","1.96","4.09","4.38","4.81","3.92","1.79","0.72","0.95","0.53","0.48","68.1","102.5","163.1","226.1","283.9","340.6","401.7","465","542.2","653.6","","",""
"Midale","MSM","2015-03-01","MSM-015","Cromer","871.6","30.7","2.11","5.1","","","","15","29","0.38","1.55","2.43","5.43","5.66","6.29","5.41","2.58","0.76","1.02","0.6","0.57","0.22","1.04","1.75","4.13","4.47","5.1","4.48","2.17","0.77","1.02","0.6","0.57","65.8","102.7","165.1","219.8","278.1","338.8","402.8","469.6","555.1","695.4","","",""
"Midale","MSM","2015-01-02","MSM-001","Cromer","873.7","30.3","2.35","5.4","48.8","0.12","44.9","19","34","0.46","1.75","2.45","5.16","5.29","5.63","4.66","2.05","0.72","0.88","0.47","0.34","0.26","1.17","1.76","3.92","4.16","4.55","3.85","1.72","0.73","0.88","0.47","0.34","","","","","","","","","","","","",""
"Midale","MSM","2014-12-07","MSM-092","Cromer","874.3","30.2","2.28","5.4","","0.21","","17","30","0.5","1.81","2.62","5.67","5.86","6.1","4.53","2.17","0.83","1.1","0.6","0.6","0.28","1.21","1.88","4.3","4.61","4.93","3.74","1.82","0.84","1.1","0.6","0.6","77.2","106","170.7","233.9","291.5","348.7","408.7","471.4","549.8","665.3","","",""
"Midale","MSM","2014-10-29","MSM-181","Cromer","877.8","29.6","2.26","5.3","","0.23","","15","28","0.42","1.28","2.21","5.2","5.59","6.01","4.79","2.09","0.73","1.03","0.58","0.56","0.24","0.85","1.58","3.93","4.38","4.83","3.93","1.75","0.73","1.02","0.58","0.55","","","","","","","","","","","","",""
"Midale","MSM","2014-09-29","MSM-072","Cromer","876.7","29.8","2.26","5.1","","0.2","","15","27","0.37","1.59","2.37","5.27","5.61","6.03","4.8","2.09","0.74","1.03","0.58","0.55","0.21","1.06","1.7","3.99","4.4","4.86","3.95","1.75","0.75","1.02","0.58","0.54","71.1","102.1","171.1","238.2","300.7","363.2","428.2","498.2","595","","","",""
"Midale","MSM","2014-07-28","MSM-055","Cromer","875.9","29.9","2.37","5.5","","0.17","","17","31","0.33","1.38","2.25","5.32","5.71","6.19","4.74","2.44","0.82","1.1","0.61","0.6","0.19","0.92","1.61","4.03","4.48","4.99","3.9","2.04","0.83","1.09","0.61","0.59","74.6","112.1","175.6","236.2","295","353.3","414.7","480.6","565.6","700.3","","",""
"Midale","MSM","2014-06-03","MSM-045","Cromer","870","31","2.2","5.2","","0.18","","22","40","0.5","1.68","2.6","5.67","6.06","6.6","4.94","2.28","0.79","1.08","0.63","0.71","0.28","1.13","1.88","4.32","4.79","5.36","4.09","1.92","0.8","1.08","0.63","0.71","","","","","","","","","","","","",""
"Midale","MSM","2014-05-20","MSM-039","Cromer","876.4","29.8","2.37","5.5","439.2","0.19","10.1","20","36","0.35","1.51","2.41","5.52","5.7","6.05","4.4","2.04","0.84","1.1","0.62","0.62","0.2","1.01","1.73","4.18","4.47","4.88","3.62","1.71","0.85","1.09","0.62","0.61","","","","","","","","","","","","",""
"Midale","MSM","2014-04-06","MSM-029","Cromer","874.1","30.2","2.23","5.4","429.1","0.18","16.4","18","31","0.38","1.69","2.76","5.67","5.63","5.83","4.65","2.24","0.81","1.05","0.57","0.56","0.22","1.13","1.98","4.3","4.43","4.71","3.84","1.88","0.82","1.05","0.57","0.56","74.4","98.4","146.2","207.3","268.5","330","392.8","462.8","545.8","665.6","","",""
"Midale","MSM","2014-03-12","MSM-021","Cromer","875.2","30","2.43","6","","","","25","51","0.33","1.55","4.34","6.03","5.55","5.35","3.82","1.6","0.73","0.98","0.5","0.52","0.19","1.03","3.12","4.57","4.36","4.32","3.15","1.34","0.74","0.98","0.5","0.52","","","","","","","","","","","","",""
"Midale","MSM","2014-02-02","MSM-009","Cromer","874","30.3","2.24","5.3","652","0.12","15.6","19","34","0.4","1.44","2.3","5.22","5.4","5.51","3.97","1.72","0.75","0.99","0.53","0.53","0.23","0.96","1.65","3.96","4.25","4.45","3.28","1.44","0.76","0.99","0.53","0.53","72.8","90","148.1","214.1","273.4","332.4","396","460.7","539.4","657.6","","",""
"Midale","MSM","2014-01-03","MSM-002","Cromer","879.1","29.3","2.4","5.5","","","","24","46","0.4","1.29","2.28","5.47","5.7","5.99","4.36","2.05","0.85","1.13","0.62","0.59","0.23","0.86","1.63","4.13","4.46","4.81","3.58","1.71","0.85","1.12","0.61","0.58","","","","","","","","","","","","",""
"Midale","MSM","2013-12-03","MSM-023","Cromer","877.8","29.6","2.19","5.7","","0.17","","21","39","0.48","1.49","2.47","5.6","5.59","5.65","3.89","1.82","0.84","1.07","0.56","0.58","0.27","0.99","1.77","4.23","4.38","4.54","3.2","1.52","0.85","1.06","0.56","0.57","","","","","","","","","","","","",""
"Midale","MSM","2013-11-25","MSM-019","Cromer","874.4","30.2","2.22","5.2","","","","18","32","0.33","1.33","2.22","4.97","5.14","5.52","5.07","2.64","0.7","0.9","0.49","0.5","0.19","0.89","1.6","3.77","4.04","4.46","4.18","2.21","0.71","0.9","0.49","0.5","","","","","","","","","","","","",""
"Midale","MSM","2013-10-07","MSM-008","Cromer","875.8","29.9","2.22","5.5","564","0.15","5.6","18","31","0.3","1.34","2.28","5.21","5.5","5.89","4.87","2.15","0.74","1","0.55","0.53","0.17","0.89","1.64","3.94","4.31","4.75","4.01","1.8","0.75","0.99","0.55","0.52","82.6","99.9","135.6","198.8","261.5","318.6","375.6","438","517.6","615.1","681.5","",""
"Midale","MSM","2013-08-18","MSM-134","Cromer","877.1","29.7","2.31","5.4","475","0.2","74.1","14","27","0.28","1.2","2.05","4.94","5.17","5.45","3.94","1.94","0.77","1.04","0.56","0.58","0.16","0.8","1.47","3.74","4.05","4.39","3.24","1.62","0.78","1.03","0.56","0.57","76.5","99.3","161.6","228.5","288.4","347.6","409.8","473.6","555.8","675.7","","",""
"Midale","MSM","2013-07-07","MSM-047","Cromer","877","29.7","2.31","5.4","","","","15","28","0.33","1.46","2.39","5.53","5.95","6.61","5.24","2.58","0.86","1.21","0.69","0.73","0.19","0.97","1.71","4.18","4.66","5.32","4.31","2.16","0.87","1.2","0.69","0.72","","","","","","","","","","","","",""
