"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Conventional Heavy","CHV","2018-01-05","CHV-710","Superior","925.6","21.2","3.26","10.5","294.3","0.97","5.1","51.6","127","","0.15","2.11","6.98","4.97","3.45","2.25","1.22","","0.14","0.29","0.06","0.34","0.08","1.33","4.74","3.56","2.56","1.72","0.95","-","0.13","0.27","0.06","0.32","36.1","80.9","206.1","314.9","392.7","457","522.2","595.2","680.7","","","",""
"Conventional Heavy","CHV","2017-12-04","CHV-770","Superior","925.6","21.2","3.36","10.7","","1.07","","52.1","128","","0.11","2.16","6.4","4.44","2.98","1.85","1.03","","0.13","0.26","0.04","0.3","0.06","1.36","4.35","3.18","2.21","1.41","0.8","-","0.12","0.24","0.04","0.28","37.1","87.2","230.8","325.9","395.7","459.1","528.3","600.9","686.9","","","",""
"Conventional Heavy","CHV","2017-11-02","CHV-903","Superior","931.5","20.3","3.17","9.9","","1.03","","43.2","104","","0.09","1.83","5.18","3.36","2.36","1.44","0.98","","0.09","0.2","0.03","0.25","0.05","1.14","3.49","2.39","1.74","1.09","0.76","-","0.09","0.19","0.03","0.23","60.3","115.9","255.4","336.2","405.8","467.6","536","615.3","702.9","","","",""
"Conventional Heavy","CHV","2017-10-04","CHV-858","Superior","930.6","20.4","3.5","10","351","0.89","23.6","50","115","","0.09","2.64","4.08","3.37","2.65","1.67","1.08","","0.09","0.25","0.05","0.3","0.05","1.65","2.76","2.4","1.96","1.27","0.84","-","0.09","0.23","0.05","0.28","60.3","141.8","268","347.6","417.1","481.1","553","634.5","718.1","","","",""
"Conventional Heavy","CHV","2017-09-07","CHV-833","Superior","934.7","19.8","3.39","11","","1.17","","51.8","118","","0.06","2.03","5.59","3.94","2.81","1.79","1.02","","0.11","0.24","0.05","0.28","0.03","1.27","3.75","2.8","2.07","1.35","0.79","-","0.1","0.22","0.05","0.26","36.1","100.9","266.4","353.9","420.8","486","548.2","615.7","701.3","","","",""
"Conventional Heavy","CHV","2017-08-03","CHV-743","Superior","933.5","20","3.35","10.9","","1.22","","48.3","111","","0.07","1.82","5.94","3.94","2.68","1.69","1.04","","0.11","0.23","0.02","0.26","0.04","1.14","4","2.8","1.97","1.28","0.8","-","0.1","0.21","0.02","0.24","36.1","100.9","256.3","346.6","414.6","472.7","533.4","599.6","679","","","",""
"Conventional Heavy","CHV","2017-07-09","B771154:RU2166","Superior","930.2","20.5","3.31","10.2","252","1.21","16.4","52.5","117","","0.09","2.33","5.57","3.86","2.54","1.49","1.04","","0.12","0.23","0.01","0.27","0.05","1.46","3.76","2.75","1.88","1.13","0.81","-","0.11","0.22","0.01","0.25","36.1","100.9","254.9","332.4","398.1","457.4","524","598.8","684.9","","","",""
"Conventional Heavy","CHV","2017-06-02","CHV-904","Superior","920.9","22","3.28","9.6","","0.88","","45.8","97.6","","0.11","2.39","4.96","3.5","2.38","1.73","1.33","","0.09","0.21","0.04","0.28","0.06","1.51","3.38","2.52","1.78","1.33","1.04","-","0.09","0.2","0.04","0.26","36.1","115.6","239.5","322.4","391.9","454.1","520.8","599.6","691.8","","","",""
"Conventional Heavy","CHV","2017-05-04","CHV-927","Superior","923.2","21.6","3.06","9.9","","1.03","","39.7","99.5","","0.07","1.99","5.4","3.41","3.1","1.73","1.11","","0.1","0.23","0.06","0.31","0.04","1.26","3.67","2.45","2.31","1.32","0.87","-","0.1","0.22","0.06","0.29","36.3","100.9","235.4","323.8","396.8","458.6","521.7","594.1","681.6","","","",""
"Conventional Heavy","CHV","2017-04-02","CHV-611","Superior","921.5","21.9","3.29","9.9","196.6","0.96","3.7","52.7","106","","0.11","2.48","6.69","3.92","3.34","1.77","1.12","","0.13","0.25","0.06","0.3","0.06","1.57","4.56","2.82","2.49","1.36","0.88","-","0.12","0.24","0.06","0.28","36.1","90.1","215.8","308.9","380.7","442.3","505","575.1","657.6","","","",""
"Conventional Heavy","CHV","2017-03-08","CHV-776","Superior","926.2","21.1","3.28","9.6","","0.97","","45.8","107","","0.11","2.24","4.83","3.36","3.18","1.72","1.28","","0.09","0.24","0.06","0.34","0.06","1.41","3.28","2.41","2.36","1.31","1","-","0.09","0.23","0.06","0.32","49.3","110.6","245.5","329.1","400.3","460.9","523.4","594.9","681.9","","","",""
"Conventional Heavy","CHV","2017-02-18","CHV-633","Superior","925.4","21.3","3.04","9.9","","0.97","","40.9","97.7","ND","0.11","2.51","5.66","3.67","3.43","1.51","1.13","","0.1","0.27","0.06","0.34","0.06","1.58","3.84","2.63","2.55","1.15","0.88","-","0.1","0.25","0.06","0.32","36.1","98.4","232.4","317.7","387.5","448.7","510.6","581.2","663.6","","","",""
"Conventional Heavy","CHV","2017-01-05","CHV-610","Superior","928.2","20.8","3.36","9.6","236.9","1.04","16.8","41.1","107","","0.09","2.18","4.4","3.06","3.39","1.55","1.2","","0.11","0.26","0.06","0.37","0.05","1.37","2.98","2.19","2.51","1.18","0.93","-","0.1","0.24","0.06","0.35","60.3","119.4","241.5","318.8","382.5","441.8","512.5","586.2","669.3","","","",""
"Conventional Heavy","CHV","2016-12-04","CHV-795","Superior","928.2","20.8","3.16","9.3","178","1.25","12.4","45.4","109","","0.05","1.88","4.62","3.11","2.97","1.21","1","","0.13","0.21","0.03","0.27","0.03","1.19","3.13","2.22","2.2","0.92","0.78","-","0.12","0.2","0.03","0.25","60.3","123.6","249.3","326.6","394","455.5","524.2","603.8","693.5","","","",""
"Conventional Heavy","CHV","2016-11-07","CHV-808","Superior","930.2","20.5","3.16","9.5","","1.15","","39.3","103","","0.09","2.02","5.74","3.65","3.71","1.42","1.34","","0.13","0.28","0.04","0.36","0.05","1.27","3.88","2.6","2.74","1.08","1.04","-","0.12","0.26","0.04","0.34","36.1","98.4","216.7","300.5","366.2","429","494.3","570","654.2","","","",""
"Conventional Heavy","CHV","2016-10-13","CHV-605","Superior","930.2","20.5","3.26","9.8","","1.24","","54","128","","0.09","2.4","5.26","3.38","3.04","1.37","1.06","","0.12","0.26","0.04","0.31","0.05","1.51","3.55","2.41","2.25","1.04","0.82","-","0.11","0.24","0.04","0.29","36.1","100.9","236.1","316.5","382.7","444","511.3","588.8","674.5","","","",""
"Conventional Heavy","CHV","2016-09-03","CHV-602","Superior","933.2","20","3.41","9.5","186.9","1.12","20.1","50","123","","0.04","1.64","3.89","2.67","2.76","1.31","1","","0.1","0.19","0.03","0.24","0.02","1.03","2.62","1.9","2.03","0.99","0.77","-","0.09","0.18","0.03","0.22","68.7","150.8","263","327.8","380.6","428.5","499.6","570.3","648.3","","","",""
"Conventional Heavy","CHV","2016-08-01","CHV-887","Superior","931.7","20.2","3.5","10.1","","1.17","","53","134","","0.06","2","6.07","3.85","2.75","1.57","0.79","","0.12","0.22","0.03","0.24","0.03","1.25","4.09","2.74","2.03","1.19","0.61","-","0.11","0.21","0.03","0.22","36.1","100.9","252.4","329.8","395.1","454.2","519.3","594.2","677.9","","","",""
"Conventional Heavy","CHV","2016-07-03","CHV-840","Superior","928.6","20.8","3.09","9.5","","1.17","","47","115","","0.05","2.01","5.26","3.56","2.69","1.62","0.81","","0.11","0.22","0.02","0.26","0.03","1.26","3.56","2.54","1.99","1.23","0.63","-","0.1","0.21","0.02","0.24","49.3","117.7","255.9","332.2","398.4","458.3","526.6","601.9","682.1","","","",""
"Conventional Heavy","CHV","2016-06-03","CHV-645","Superior","925.3","21.3","3.32","9.5","184.4","1.11","22.4","49","126","ND","0.11","2.5","5.6","4.03","3.32","2.08","1.05","","0.13","0.31","0.04","0.36","0.06","1.58","3.8","2.89","2.47","1.59","0.82","-","0.12","0.29","0.04","0.34","36.1","98.4","231.7","315.2","383.3","445.9","518.7","600.2","691.9","","","",""
"Conventional Heavy","CHV","2016-05-06","CHV-750","Superior","927","21","3.34","9","","1.18","","47","123","","0.07","2.2","6.1","4.11","3.1","1.92","1.04","","0.12","0.26","0.04","0.32","0.04","1.38","4.13","2.94","2.3","1.46","0.81","-","0.11","0.24","0.04","0.3","36.1","98.4","221.3","304.5","370.5","432.2","501","580.7","668.6","","","",""
"Conventional Heavy","CHV","2016-04-09","CHV-885","Superior","924.4","21.4","3.35","9.5","","1.14","","52","122","","0.07","2.11","6.2","4.19","3.01","1.75","0.88","","0.12","0.25","0.03","0.29","0.04","1.33","4.21","3.01","2.24","1.34","0.69","-","0.11","0.24","0.03","0.27","36.1","93.5","240.1","324.9","394.9","459","530.4","613.3","703.9","","","",""
"Conventional Heavy","CHV","2016-03-01","CHV-625","Superior","922.9","21.7","3.04","9.1","99.4","1.18","17.9","45","114","","0.22","3.53","1.84","1.91","2.35","2.4","1.56","","0.03","0.15","0.1","0.34","0.12","2.23","1.25","1.37","1.75","1.84","1.22","-","0.03","0.14","0.09","0.32","60.3","117.7","232.6","310.5","375.9","439.5","508.5","593.3","691.3","","","",""
"Conventional Heavy","CHV","2016-02-11","CHV-822","Superior","923.2","21.6","3.31","9.6","","1.07","","53","133","","0.09","2.31","6.65","4.84","3.61","2.13","1.05","","0.15","0.33","0.06","0.36","0.05","1.46","4.52","3.48","2.69","1.63","0.82","-","0.14","0.31","0.06","0.34","36.1","84.1","218.4","310.3","380.9","446.2","518.1","601.3","693.9","","","",""
"Conventional Heavy","CHV","2016-01-02","CHV-868","Superior","925.8","21.2","3.12","9.1","","1.13","","45","109","","0.11","2.35","6.77","4.65","3.34","2.03","1.01","","0.13","0.26","0.04","0.32","0.06","1.48","4.59","3.33","2.48","1.55","0.79","-","0.12","0.24","0.04","0.3","36.1","86.2","220.5","307.9","376.1","439.7","505.7","583","668.1","","","",""
"Conventional Heavy","CHV","2015-12-09","CHV-922","Superior","928.9","20.7","3.5","9.5","230.3","1","15.8","48","124","","0.11","2.69","4.8","3.63","2.82","2.45","1.78","0.85","0.12","0.26","0.09","0.35","0.06","1.69","3.24","2.59","2.09","1.86","1.38","0.67","0.11","0.24","0.08","0.33","65.8","140","251.1","317.9","377.1","431.6","487.7","548","614.6","688.2","719","",""
"Conventional Heavy","CHV","2015-12-07","CHV-808","Superior","929.7","20.6","3.13","9.6","","1.01","","44","113","","0.09","1.72","4.23","3.38","2.53","1.99","1.26","0.62","0.12","0.27","0.05","0.3","0.05","1.08","2.86","2.41","1.87","1.51","0.98","0.49","0.11","0.25","0.05","0.28","64.5","138.2","250.5","316.8","374.7","428.1","481.5","539.6","603.7","674.7","708.4","",""
"Conventional Heavy","CHV","2015-11-05","CHV-670","Superior","934.8","19.7","3.79","9.2","","1.15","","51","136","","0.12","2.13","3.74","3.24","2.72","2.55","1.89","0.88","0.1","0.25","0.1","0.38","0.06","1.33","2.51","2.3","2","1.93","1.46","0.69","0.09","0.23","0.09","0.35","69.5","146.6","259.2","331.2","399.4","463.5","534.5","614.8","700.3","","","",""
